lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,retention_budget_tier,recommended_retention_action,save_priority_tier,customers,avg_save_worthiness_score,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,expected_saved_clv_proxy,intervention_cost_proxy,net_save_value_proxy,paid_offer_customers,roi_proxy,segment_strategy_readout
Unknown tenure,No observed activity,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,415,37.55842452625891,0.9792792691027631,0.9927710843373494,131837.0625,130030.81000000001,127733.5212161408,6386.67606080704,1245.0,5141.67606080704,415,4.129860289804851,Monitor or test
Established,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,677,32.700712862937586,0.9680351214969894,0.9719350073855244,218101.45500000002,206798.37750000003,205895.71071012382,5147.392767753096,507.75,4639.642767753096,677,9.13765193058217,Monitor or test
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,861,31.28799482902559,0.9543380483276944,0.9732868757259001,229320.84500000003,217190.87000000002,209551.2453250415,5238.781133126038,645.75,4593.031133126038,861,7.11270791037714,Monitor or test
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,497,30.55873175105282,0.33651951586608025,0.4044265593561368,331125.30750000005,124224.65250000001,100862.36706732668,5043.118353366334,1491.0,3552.1183533663343,497,2.3823731410907674,Monitor or test
Established,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,4894,12.724064233077831,0.08564895220393398,0.08765835717204741,4118178.22,360853.41500000004,352668.2853369366,17633.41426684683,14682.0,2951.4142668468317,4894,0.20102263089816316,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Critical risk,Automation only,Low-cost automated retention,Positive ROI monitor pool,301,33.94416748100058,0.8530827992334391,0.8604651162790697,131422.42750000002,103771.23250000001,102979.39365784544,2574.484841446136,225.75,2348.734841446136,301,10.404141047380449,Monitor or test
Early lifecycle,High engagement,High revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,427,20.37653657790082,0.10822772915574726,0.11241217798594848,551294.12,61677.525,59701.42435187163,4776.11394814973,3202.5,1573.6139481497307,427,0.4913704756127184,Monitor or test
Early lifecycle,High engagement,Medium revenue,High value,High risk,Moderate save budget,Targeted lifecycle nurture,Positive ROI monitor pool,1023,14.212784822480124,0.1005200603467552,0.08699902248289346,760117.54,65344.69500000001,75910.91954840891,3795.5459774204464,3069.0,726.5459774204462,1023,0.2367370405410382,Monitor or test
Long-tenure,High engagement,Medium revenue,Elite value,High risk,Premium save budget,High-value targeted retention,Positive ROI monitor pool,252,21.981469482729352,0.08837617833941575,0.0873015873015873,385424.1191666667,24420.89,31890.607257239128,2551.2485805791302,1890.0,661.2485805791301,252,0.3498669738513916,Monitor or test
Long-tenure,High engagement,No observed revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,306,0.0,0.7865410785658609,0.8104575163398693,252022.51750000002,199552.94666666668,195050.1752605591,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,31032,0.0,0.0007431169961015164,0.000580046403712297,25054328.227500003,15238.080000000002,18792.65118553562,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,79557,0.0,0.007810943518050055,0.006511054966879093,98928817.45500001,639708.7775000001,774020.7885138756,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,15239,0.0,0.7130171920538667,0.7159262418793884,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,30147,0.0,0.0077742347940033575,0.005804889375393903,38094870.49333334,218004.5075,295875.21993826755,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,15975,0.0,0.007713793867675186,0.008200312989045383,12776554.1475,103934.90250000001,98858.09198745806,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,3666,0.0,0.7166563654000322,0.7244953627932351,3612146.904166667,2584617.0458333334,2550380.4634902547,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,32245,0.0,0.0323518966742818,0.0327182508916111,36250819.85416667,1109278.2891666668,1090030.5058383013,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,593,0.0,0.006749024721071916,0.0,1091591.0091666668,0.0,7281.105468972319,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,11300,0.0,0.0019665515362442734,0.00026548672566371683,11888899.360000001,3015.5775,24650.748122410463,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,55977,0.0,0.007734834362639201,0.00685996034085428,68351989.81,473785.87750000006,530300.717031982,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,1731,0.0,0.007349931997349083,0.005199306759098787,1734280.08,9283.0725,12757.881050739688,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,458,0.0,0.008893126881630648,0.002183406113537118,570122.8975,1246.05,5069.18039247627,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,4889,0.0,0.034821066698518144,0.03599918183677644,4359341.025,153101.78000000003,148140.12847858435,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,9963,0.0,0.0074955080393758365,0.005420054200542005,7285119.952500001,39485.745,54605.67517178107,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,3721,0.0,0.0074955080393758365,0.0064498790647675355,2893393.75,18721.105,21687.4561142048,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,6282,0.0,0.00749953850311844,0.004297994269340974,4592080.2525,19742.8725,34436.017767667654,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,4269,0.0,0.0005852873217718836,0.0011712344811431249,2099919.25,2453.75,1237.3501079321147,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,3329,0.0,0.01266168734090727,0.021628116551516974,2159010.4575,46856.81,27564.55716253138,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,447,0.0,0.9635859016422456,0.9731543624161074,135301.725,127606.765,126650.20653617411,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,53122,0.0,0.0003130844672011705,5.6473777342720533e-05,28101899.1825,1563.705,8798.274174260216,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,22084,0.0,0.00031306366742664784,4.528165187466039e-05,10790362.440000001,485.84250000000003,3378.0680177752115,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,390,0.0,0.9488861196573601,0.9666666666666667,90470.51000000001,84160.1475,80808.34071912488,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,6740,0.0,0.007000246458129619,0.0057863501483679525,6233943.950000001,36071.78250000001,43639.14405616607,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,2544,0.0,0.0069823839611147225,0.003537735849056604,2470178.62,8697.130000000001,17244.629207170514,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,4587,0.0,0.006966986796608425,0.004578155657292348,4203036.175000001,19423.2675,29294.725982359876,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,293,0.0,0.0008020679851210868,0.0,181997.6925,0.0,146.18021076086166,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,848,0.0,0.863301350310355,0.8903301886792453,566518.6041666667,490417.1783333334,472888.40143418306,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,710,0.0,0.0006518163028606609,0.0,486582.5250000001,0.0,317.1624224821051,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,2268,0.0,0.006004564125694505,0.0048500881834215165,1491642.6525,7255.462500000001,8955.419514167972,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,6315,0.0,0.0005466617419729858,0.00031670625494853525,4152296.3625000003,1299.8700000000001,2269.9787148779956,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,996,0.0,0.006012606900196627,0.006024096385542169,614703.3750000001,3758.040000000001,3695.7904603516045,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,2680,0.0,0.0005519826209986776,0.0007462686567164179,1653202.9800000004,1299.8700000000003,912.4840439605586,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,608,0.0,0.008298910629746928,0.004934210526315789,718473.6,3545.1000000000004,5962.548196232542,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,1317,0.0,0.9067845387851571,0.914958238420653,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,2432,0.0,0.007591488915232976,0.007401315789473684,2508492.4800000004,18566.145,19043.192855865276,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,930,0.0,0.0074593543893597646,0.004301075268817204,973229.6600000001,4125.81,7260.145530638439,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,13106,0.0,0.0007457410560187067,0.0002289027926140699,10579484.2725,2374.5150000000003,7967.4296266348565,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,956,0.0,0.026823119262392503,0.0198744769874477,927325.3275000001,17825.697500000002,24256.797516425217,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Automation only,Monitor only,Not targeted,908,0.0,0.0071278292641045885,0.003303964757709251,622277.3700000001,2055.9825,4435.486848276039,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,1742,0.0,0.0006660358496634576,0.000574052812858783,1193840.5050000001,685.3275000000001,795.1405751103265,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,Medium engagement,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,383,0.0,0.007149177157030154,0.0026109660574412533,262480.43250000005,685.3275000000001,1876.5191121963956,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,6639,0.0,0.00769904090556916,0.007531254707034192,5304561.979166667,40920.16500000001,40973.407689234016,0.0,0.0,0.0,0,,Monitor or test
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,8670,0.0,0.9788262475955899,0.9806228373702423,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Long-tenure,High engagement,Low revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,1385,0.0,0.01985533500710386,0.020216606498194945,1216958.4483333335,23608.50916666667,24876.135924467573,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,7461,0.0,0.008175898577552314,0.006433453960595094,8579457.25,56153.630000000005,70308.53348641658,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,5888,0.0,0.007571457356670125,0.004245923913043478,6623572.0525,28745.08,50663.24092158918,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,12279,0.0,0.0016649047109515717,0.0002443195699975568,12315286.295,2978.3975,21800.735695259173,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Medium revenue,Core value,High risk,Low-cost save budget,Monitor only,Not targeted,9474,0.0,0.04752060045578618,0.04823728097952291,9457293.787500001,408689.775,394350.0267920356,0.0,0.0,0.0,0,,Monitor or test
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,856,0.0,0.5517935338547317,0.552570093457944,694387.7200000001,362423.6633333334,363058.3525830294,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,78055,0.0,0.00025534706635982725,0.0,57293111.947500005,0.0,14696.17054694132,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,32912,0.0,0.0002550896392878446,0.0,24155168.895000003,0.0,6190.734184648675,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,Low revenue,Core value,Critical risk,Low-cost save budget,Monitor only,Not targeted,390,0.0,0.8525462331223573,0.8974358974358975,207342.28666666668,179224.5541666667,164770.14884256906,0.0,0.0,0.0,0,,Monitor or test
Established,High engagement,High revenue,Elite value,Medium risk,Premium save budget,Monitor only,Not targeted,6305,0.0,0.008767679939030415,0.006978588421887391,8588481.59,62124.042499999996,76032.9418581899,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Medium revenue,Core value,Medium risk,Low-cost save budget,Monitor only,Not targeted,375,0.0,0.0076307630646893125,0.0,246430.11250000002,0.0,1866.674873150341,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1331,0.0,0.0003115824241444091,0.0,653188.25,0.0,203.52197835764431,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,2847,0.0,0.0002097887138275525,0.0,1505049.975,0.0,315.80279415511166,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1207,0.0,0.00020581392446947453,0.0,589101.7275,0.0,121.23175731785929,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,325,0.0,0.9143687181535742,0.9292307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,1080,0.0,0.0004926455373517964,0.0,615568.1675,0.0,322.032685451654,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Automation only,Monitor only,Not targeted,1277,0.0,0.00033798076027940425,0.0,710813.3175000001,0.0,240.24122546537555,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Low-cost save budget,Monitor only,Not targeted,518,0.0,0.00030683949968026206,0.0,288333.04500000004,0.0,88.4719672690865,0.0,0.0,0.0,0,,Monitor or test
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,No paid budget,Suppress paid offer,Suppressed from paid retention,3206,0.0,0.7391907340677383,0.7442295695570805,0.0,0.0,0.0,0.0,0.0,0.0,0,,Suppression segment
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Moderate save budget,Monitor only,Not targeted,894,0.0,0.006402799864118186,0.0022371364653243847,936239.265,1995.1100000000004,6006.756219325016,0.0,0.0,0.0,0,,Monitor or test
