lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2092,0.058317399617590825,0.054775772994339625,1.1218929254302104,1.0,1.0,1887579.0375000043,93198.94999999995,148.14818355640534,73727.99589638307,Lifecycle monitoring segment
Established,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,6305,0.006978588421887391,0.0087676799390304,1.0,1.0,1.0,8588481.589999981,62124.0425,204.74306106264868,72069.03515433252,Lifecycle monitoring segment
Established,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,7461,0.006433453960595094,0.008175898577552321,1.0202385739177053,1.0,1.0,8579457.250000063,56153.630000000005,149.0,65104.64684118761,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,9963,0.005420054200542005,0.007495508039375286,1.0,1.0,1.0,7285119.952500585,39485.74499999997,149.0,45748.96732695142,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,6740,0.0057863501483679525,0.007000246458129581,1.2780415430267063,1.0,1.0,6233943.949999895,36071.7825,149.0,41772.93794783665,Lifecycle monitoring segment
Established,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,1257,0.024661893396976928,0.026906330225895544,1.1933174224343674,1.0,0.9994431185361973,1040880.8475000049,25670.09250000002,149.0,39541.17072860146,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3329,0.021628116551516974,0.012661687340906573,1.1661159507359566,1.0,0.999474316611595,2159010.457499883,46856.81,132.15410033042957,35587.5722085092,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6639,0.007531254707034192,0.007699040905569128,1.0128031330019582,1.0,0.9994082648875185,5304561.9791666325,40920.165000000015,99.0251041823568,30926.408268148236,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,902,0.019955654101995565,0.023195299678527657,1.3503325942350333,1.0,0.9975678042353546,925333.9550000087,18566.144999999997,149.0,28495.18844572499,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2785,0.006463195691202872,0.00822023744429603,1.02262118491921,1.0,1.0,3187159.1700000013,20871.175000000003,149.0,24199.152166377677,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,752,0.026595744680851064,0.0170816520525351,2.0013297872340425,2.0,1.0,549875.5600000106,14624.350000000004,149.0,22311.237087291745,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,5888,0.004245923913043478,0.007571457356670133,1.0171535326086956,1.0,1.0,6623572.052500057,28745.08000000001,145.2484714673913,21722.04161057556,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,3721,0.0064498790647675355,0.00749550803937618,1.0,1.0,1.0,2893393.7499999483,18721.105000000003,149.0,21690.643571988534,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,2432,0.007401315789473684,0.007591488915232969,1.1805098684210527,1.0,1.0,2508492.4800000284,18566.145000000004,149.0,21513.153136561024,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1385,0.020216606498194945,0.01985533500710385,3.632490974729242,1.0,0.8656666786778119,1216958.4483333335,23608.509166666667,103.10661853188927,18057.948018891835,Lifecycle monitoring segment
Established,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,600,0.016666666666666666,0.02466623508856027,1.0033333333333334,1.0,1.0,609490.2450000023,10109.970000000001,189.58833333333334,15539.01734513744,Lifecycle monitoring segment
Established,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,894,0.02796420581655481,0.0304512556935187,1.1935123042505593,1.0,1.0,730177.6950000025,19812.48750000001,146.96420581655482,15311.851967090366,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6282,0.004297994269340974,0.007499538503118862,1.0,1.0,1.0,4592080.252499622,19742.8725,148.95367717287488,14918.20119935694,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4587,0.004578155657292348,0.006966986796608418,1.2703291911925005,1.0,1.0,4203036.174999934,19423.2675,147.6106387617179,14668.941861164622,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,956,0.0198744769874477,0.0268231192623925,1.2573221757322175,1.0,0.9961543634190078,927325.3275000044,17825.697500000002,140.88458856345883,13727.878732483376,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Low value,High risk,High risk / low value,Do not overspend,Automation only,2768,0.022398843930635837,0.017567774375489797,1.68135838150289,1.0,0.9600974168569162,2341441.374999983,49465.16250000001,98.76697976878613,12583.53882856174,Do not spend premium budget
Long-tenure,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,31032,0.000580046403712297,0.0007431169961015274,1.0,1.0,1.0,25054328.227504723,15238.079999999994,99.0,11437.052757176963,Lifecycle monitoring segment
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2544,0.003537735849056604,0.006982383961114733,1.2716194968553458,1.0,1.0,2470178.620000044,8697.130000000001,149.0,10071.53520617269,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1731,0.005199306759098787,0.007349931997349088,1.146735990756788,1.0,1.0,1734280.0800000136,9283.0725,144.73021374927788,7013.476838701095,Lifecycle monitoring segment
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2268,0.0048500881834215165,0.006004564125694472,1.0,1.0,1.0,1491642.6525000432,7255.462500000001,99.0,5474.271292382116,Lifecycle monitoring segment
Established,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,1070,0.004672897196261682,0.007030044595890103,1.0093457943925233,1.0,1.0,886032.2250000036,4140.337500000001,149.0,4794.860895857092,Lifecycle monitoring segment
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,930,0.004301075268817204,0.007459354389359762,1.6494623655913978,1.0,0.9837895361846082,973229.6600000075,4125.81,151.17132616487453,4780.07376077314,Lifecycle monitoring segment
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,608,0.004934210526315789,0.008298910629746933,1.0,1.0,1.0,718473.6000000025,3545.1000000000004,180.0,4110.698538284543,Lifecycle monitoring segment
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,996,0.006024096385542169,0.0060126069001966015,1.0,1.0,1.0,614703.3749999944,3758.0400000000004,99.0,2835.476712926412,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,6668,0.0005998800239952009,0.002510547592491202,1.0,1.0,1.0,8100001.3249998875,4658.485000000001,149.0,2802.1082089808438,"Protect, but avoid discounting"
Established,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,898,0.004454342984409799,0.006916302652975868,1.0167037861915367,1.0,1.0,723025.1925000031,3312.2700000000004,144.87639198218264,2501.3839963412797,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,894,0.0022371364653243847,0.006402799864118185,1.0044742729306488,1.0,1.0,936239.2650000006,1995.1100000000004,149.0,2309.0669335424363,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11300,0.00026548672566371683,0.0019665515362443323,1.0,1.0,1.0,11888899.359999936,3015.5775,127.82548672566372,2266.1308414239666,Lifecycle monitoring segment
Established,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,12279,0.0002443195699975568,0.0016649047109515774,1.0,1.0,1.0,12315286.295000043,2978.3975,131.3608600048864,2237.5171860216274,Lifecycle monitoring segment
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4269,0.0011712344811431249,0.0005852873217718512,1.0,1.0,1.0,2099919.25,2453.75,100.23424689622863,1841.3896115743482,Lifecycle monitoring segment
Long-tenure,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,13106,0.0002289027926140699,0.0007457410560186916,1.0,1.0,1.0,10579484.272499435,2374.5150000000003,99.0,1782.2143299927247,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1490,0.0020134228187919465,0.005527604179291476,1.0026845637583892,1.0,1.0,1417148.3300000005,2207.3025000000002,136.59865771812082,1664.6276958929707,Lifecycle monitoring segment
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,908,0.003303964757709251,0.007127829264104581,1.001101321585903,1.0,1.0,622277.3700000059,2055.9825,99.0,1552.97789417249,Lifecycle monitoring segment
Established,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,8105,0.00024676125848241827,0.0023790846126044325,1.0,1.0,1.0,9209519.76750026,2188.8100000000004,149.0,1316.410418514549,"Protect, but avoid discounting"
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,53122,5.6473777342720533e-05,0.00031308446720101424,1.0001129475546855,1.0,0.9999811754075524,28101899.18249426,1563.705,99.0,1173.1459288100884,Lifecycle monitoring segment
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2680,0.0007462686567164179,0.0005519826209986899,1.0,1.0,1.0,1653202.9799999588,1299.8700000000003,99.0,975.4406292371684,Lifecycle monitoring segment
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,6315,0.00031670625494853525,0.0005466617419729888,1.0,1.0,1.0,4152296.3625002974,1299.8700000000001,99.0,975.435441898904,Lifecycle monitoring segment
Established,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,27910,7.165890361877464e-05,0.00025745191530300896,1.0,1.0,1.0,16564101.839999743,1171.17,99.0,878.603639969734,Lifecycle monitoring segment
Early lifecycle,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,16384,6.103515625e-05,0.00024860689125551835,1.00006103515625,1.0,1.0,11012044.972498424,804.3750000000001,99.0,603.4312298761154,Lifecycle monitoring segment
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1742,0.000574052812858783,0.000666035849663451,1.0,1.0,1.0,1193840.5050000057,685.3275000000001,99.0,514.3379645128202,Lifecycle monitoring segment
Established,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,5900,0.00016949152542372882,0.0003057754149778982,1.0001694915254238,1.0,1.0,3663767.2500001006,620.9775000000001,99.0,465.8755347395659,Lifecycle monitoring segment
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,22084,4.528165187466039e-05,0.00031306366742652684,1.0,1.0,1.0,10790362.439998372,485.84250000000003,99.0,364.49594972613124,Lifecycle monitoring segment
Established,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,9003,0.7053204487393091,0.701886451120952,1.0482061535043874,1.0,0.9962010712250828,0.0,0.0,0.0,0.0,Do not spend premium budget
Established,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,771,0.9092088197146563,0.9090665244488371,1.020752269779507,1.0,0.9979824182158813,0.0,0.0,0.0,0.0,Do not spend premium budget
Early lifecycle,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,14412,0.0,0.000743879225531552,1.0,1.0,1.0,10603476.325,0.0,107.78615043019705,0.0,Lifecycle monitoring segment
Established,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2455,0.0,0.00029966003706974423,1.0,1.0,1.0,1524499.762499996,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1331,0.0,0.0003115824241444102,1.0,1.0,1.0,653188.25,0.0,100.0,0.0,Lifecycle monitoring segment
Long-tenure,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,2525,0.0,0.0025096268711582545,1.0,1.0,1.0,3078924.452500007,0.0,149.0,0.0,"Protect, but avoid discounting"
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1080,0.0,0.0004926455373517966,1.0,1.0,1.0,615568.1675,0.0,101.37314814814815,0.0,Lifecycle monitoring segment
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1207,0.0,0.0002058139244694731,1.0,1.0,1.0,589101.7275000137,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,1456,0.0,0.002416117212473962,1.0,1.0,1.0,1517586.2325000046,0.0,149.0,0.0,"Protect, but avoid discounting"
Established,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32912,0.0,0.0002550896392878357,1.0,1.0,1.0,24155168.894995995,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2847,0.0,0.0002097887138275627,1.0,1.0,1.0,1505049.97500001,0.0,99.0,0.0,Lifecycle monitoring segment
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,1317,0.914958238420653,0.9067845387851552,1.017463933181473,1.0,0.998424449506454,0.0,0.0,0.0,0.0,Do not spend premium budget
Early lifecycle,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,527,0.0,0.002411895655151138,1.0,1.0,1.0,551706.0249999999,0.0,149.0,0.0,"Protect, but avoid discounting"
