lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,segment_label,avg_clv_per_customer,bubble_value,decision_zone
Long-tenure,No observed activity,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,615,0.7983739837398374,0.7703804276089968,6.803252032520326,4.0,0.8755804102888952,647968.7716666664,477895.5999999994,186.97018970189697,1269085.5250206855,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Elite value,1053.6077588075875,477895.5999999994,Save-worthiness review
Established,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,14501,0.0509620026205089,0.0474940413402739,1.2400524101786083,1.0,1.0,14511209.830000192,656768.905,149.0,1031942.2717876146,Lifecycle monitoring segment,Established / High engagement / Medium revenue / High value,1000.7040776498305,656768.905,Save-worthiness review
Established,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,648,0.7854938271604939,0.774113189732374,1.617283950617284,1.0,0.9978395061728392,479615.7275000002,358979.36749999993,149.0,955305.0460853024,Lifecycle monitoring segment,Established / High engagement / Medium revenue / High value,740.1477276234572,358979.36749999993,Save-worthiness review
Long-tenure,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32245,0.0327182508916111,0.0323518966742816,1.298743991316483,1.0,0.9950972327652708,36250819.85416724,1109278.289166666,142.41706724556784,858874.1593206075,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Core value,1124.2307289243988,1109278.289166666,Risk monitor
Long-tenure,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,14564,0.035361164515243,0.0366337823162692,2.353886294973908,1.0,0.9630478344877396,17306097.954166695,542220.3691666669,153.28575025176204,843125.9282072486,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Elite value,1188.2791783965047,542220.3691666669,Save-worthiness review
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,79557,0.006511054966879,0.00781094351805,1.1892730997900876,1.0,1.0,98928817.454994,639708.7775000001,149.0,741411.3326234113,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / High value,1243.496077717787,639708.7775000001,Value monitor
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,848,0.8903301886792453,0.863301350310357,3.753537735849057,2.0,0.9779625154558802,566518.6041666667,490417.17833333527,143.06407232704402,685346.2429529241,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Core value,668.0643917059749,490417.17833333527,Risk monitor
Early lifecycle,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,7122,0.0419825891603482,0.043022082680581,1.0001404099971918,1.0,1.0,8531866.882500034,336426.35,191.26579612468407,526350.1683684391,Lifecycle monitoring segment,Early lifecycle / High engagement / High revenue / Elite value,1197.9594050126416,336426.35,Save-worthiness review
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,856,0.552570093457944,0.5517935338547323,6.793224299065421,3.0,0.8434497106723855,694387.7199999983,362423.66333333345,102.97819314641742,421805.0229574585,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Core value,811.2006074766335,362423.66333333345,Risk monitor
Established,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,5796,0.0519323671497584,0.0501013748866025,1.2232574189095928,1.0,0.9999424890729236,5735169.11500005,264809.5125000001,149.0698757763975,417115.2497389517,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Elite value,989.5046782263715,264809.5125000001,Save-worthiness review
Long-tenure,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,27838,0.0078669444644011,0.0084286729704185,1.004921330555356,1.0,0.9997724051902532,42294469.880000904,340017.2100000001,196.14707713676748,394315.5694475148,Lifecycle monitoring segment,Long-tenure / High engagement / High revenue / Elite value,1519.3070579783355,340017.2100000001,Value monitor
Established,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,629,0.6597774244833068,0.6602994949662745,1.6120826709062004,1.0,0.9994700582935876,471710.7524999992,300928.45249999966,138.43826179120296,374723.518280049,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Core value,749.9376033386314,300928.45249999966,Risk monitor
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,55977,0.0068599603408542,0.0077348343626392,1.1730353538060274,1.0,1.0,68351989.81000033,473785.87749999994,146.24874502027615,358087.8995893651,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Core value,1221.0727586330158,473785.87749999994,No paid action focus
Established,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,9474,0.0482372809795229,0.0475206004557861,1.2304200971078745,1.0,0.9999136392423282,9457293.787500018,408689.7749999997,148.63742875237492,321083.21888110484,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Core value,998.236625237494,408689.7749999997,Risk monitor
Long-tenure,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,1621,0.5774213448488588,0.5872137683939309,5.370758790869833,2.0,0.9006718678894972,1251578.5424999958,689342.9399999984,99.0,273533.65137828724,Do not spend premium budget,Long-tenure / High engagement / Low revenue / Low value,772.1027405922244,689342.9399999984,Risk monitor
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,30147,0.0058048893753939,0.0077742347940033,1.7195409161773971,1.0,0.981364281418411,38094870.49333391,218004.5075,151.4993310556048,252654.2245865744,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Elite value,1263.6371941929185,218004.5075,Value monitor
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,500,0.404,0.3352623294381568,1.094,1.0,1.0,332476.3649999996,124675.0050000001,149.0,249710.756398521,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / High value,664.9527299999992,124675.0050000001,Save-worthiness review
Long-tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,5747,0.029580650774317,0.0268815516567346,1.054289194362276,1.0,1.0,5315500.872499907,157235.97499999995,149.0,242194.08297638924,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / High value,924.9174999999839,157235.97499999995,Save-worthiness review
Early lifecycle,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,3282,0.0457038391224862,0.0557394703561944,1.1273613650213286,1.0,1.0,2958554.429999993,119561.325,149.0,189338.41489587724,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / High value,901.4486380255921,119561.325,Save-worthiness review
Established,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,904,0.9015486725663716,0.8687622673184997,1.8174778761061947,1.0,0.999010570304818,464757.475,400694.58,98.97123893805308,187200.72795575848,Do not spend premium budget,Established / High engagement / Low revenue / Low value,514.1122511061947,400694.58,Risk monitor
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4889,0.0359991818367764,0.0348210666985183,1.0572714256494171,1.0,0.9993618928446814,4359341.024999941,153101.77999999988,143.64287175291471,118824.7104697813,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Core value,891.663126406206,153101.77999999988,Risk monitor
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,861,0.9732868757259,0.9543380483276964,1.1939605110336815,1.0,1.0,229320.84499999805,217190.8699999983,98.92566782810684,106116.09524759778,Do not spend premium budget,Unknown tenure / No observed activity / Low revenue / Low value,266.3424448315889,217190.8699999983,Risk monitor
Long-tenure,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,2292,0.0287958115183246,0.0291731417471546,1.9197207678883073,1.0,0.9724418132205398,2285490.404166721,65968.6408333333,152.85674810936592,101839.7300148469,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Elite value,997.1598622018852,65968.6408333333,Save-worthiness review
Established,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,677,0.9719350073855244,0.96803512149699,1.1816838995568686,1.0,0.999753815854259,218101.45499999984,206798.37749999992,99.0,101746.6174971482,Do not spend premium budget,Established / No observed activity / Low revenue / Low value,322.15872230428334,206798.37749999992,Risk monitor
Early lifecycle,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,1268,0.0607255520504731,0.0583320840933639,1.114353312302839,1.0,1.0,1134667.9825000016,58478.939999999995,149.08044164037855,92835.20766865616,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / Elite value,894.8485666403798,58478.939999999995,Save-worthiness review
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,15975,0.0082003129890453,0.0077137938676753,1.00075117370892,1.0,0.9998935837245696,12776554.147500468,103934.9025,99.0,78552.47618515644,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Low value,799.7842971831279,103934.9025,No paid action focus
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2092,0.0583173996175908,0.0547757729943396,1.1218929254302104,1.0,1.0,1887579.0375000043,93198.94999999995,148.14818355640534,73727.99589638307,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / Core value,902.284434751436,93198.94999999995,Risk monitor
Established,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,6305,0.0069785884218873,0.0087676799390304,1.0,1.0,1.0,8588481.589999981,62124.0425,204.74306106264868,72069.03515433252,Lifecycle monitoring segment,Established / High engagement / High revenue / Elite value,1362.1699587628837,62124.0425,Value monitor
Established,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,7461,0.006433453960595,0.0081758985775523,1.0202385739177051,1.0,1.0,8579457.250000063,56153.630000000005,149.0,65104.64684118761,Lifecycle monitoring segment,Established / High engagement / Medium revenue / High value,1149.907150516025,56153.630000000005,Value monitor
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,9963,0.005420054200542,0.0074955080393752,1.0,1.0,1.0,7285119.952500585,39485.74499999997,149.0,45748.96732695142,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / High value,731.2175000000586,39485.74499999997,Value monitor
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,6740,0.0057863501483679,0.0070002464581295,1.2780415430267065,1.0,1.0,6233943.949999895,36071.7825,149.0,41772.93794783665,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / High value,924.9174999999844,36071.7825,Value monitor
Established,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,1257,0.0246618933969769,0.0269063302258955,1.1933174224343674,1.0,0.9994431185361972,1040880.8475000048,25670.09250000002,149.0,39541.17072860146,Lifecycle monitoring segment,Established / No observed activity / Medium revenue / High value,828.0675000000039,25670.09250000002,Save-worthiness review
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3329,0.0216281165515169,0.0126616873409065,1.1661159507359566,1.0,0.999474316611595,2159010.457499883,46856.81,132.15410033042957,35587.5722085092,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / Core value,648.5462473715479,46856.81,Risk monitor
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6639,0.0075312547070341,0.0076990409055691,1.0128031330019582,1.0,0.9994082648875184,5304561.9791666325,40920.165000000015,99.0251041823568,30926.408268148236,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Core value,799.0001474870662,40920.165000000015,No paid action focus
Long-tenure,Medium engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,902,0.0199556541019955,0.0231952996785276,1.3503325942350333,1.0,0.9975678042353546,925333.9550000088,18566.144999999997,149.0,28495.18844572499,Lifecycle monitoring segment,Long-tenure / Medium engagement / Medium revenue / High value,1025.8691297117614,18566.144999999997,Save-worthiness review
Established,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2785,0.0064631956912028,0.008220237444296,1.02262118491921,1.0,1.0,3187159.1700000013,20871.175000000003,149.0,24199.152166377677,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Elite value,1144.4018563734296,20871.175000000003,Value monitor
Unknown tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,752,0.026595744680851,0.0170816520525351,2.0013297872340425,2.0,1.0,549875.5600000106,14624.350000000004,149.0,22311.237087291745,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / High value,731.2175000000142,14624.350000000004,Save-worthiness review
Established,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,5888,0.0042459239130434,0.0075714573566701,1.0171535326086956,1.0,1.0,6623572.052500057,28745.08000000001,145.2484714673913,21722.04161057556,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Core value,1124.9273186990586,28745.08000000001,No paid action focus
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,3721,0.0064498790647675,0.0074955080393761,1.0,1.0,1.0,2893393.7499999483,18721.105000000003,149.0,21690.643571988538,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / Elite value,777.5849905939125,18721.105000000003,Value monitor
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,2432,0.0074013157894736,0.0075914889152329,1.1805098684210529,1.0,1.0,2508492.4800000284,18566.145000000004,149.0,21513.153136561024,Lifecycle monitoring segment,Long-tenure / Medium engagement / Medium revenue / High value,1031.4525000000117,18566.145000000004,Value monitor
Long-tenure,High engagement,Low revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1385,0.0202166064981949,0.0198553350071038,3.632490974729242,1.0,0.865666678677812,1216958.4483333337,23608.509166666667,103.10661853188928,18057.948018891835,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Core value,878.6703598074612,23608.509166666667,Risk monitor
Established,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,600,0.0166666666666666,0.0246662350885602,1.0033333333333334,1.0,1.0,609490.2450000023,10109.97,189.58833333333337,15539.01734513744,Lifecycle monitoring segment,Established / No observed activity / High revenue / Elite value,1015.8170750000039,10109.97,Save-worthiness review
Established,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,894,0.0279642058165548,0.0304512556935187,1.193512304250559,1.0,1.0,730177.6950000025,19812.48750000001,146.96420581655482,15311.851967090366,Lifecycle monitoring segment,Established / No observed activity / Medium revenue / Core value,816.7535738255061,19812.48750000001,Risk monitor
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6282,0.0042979942693409,0.0074995385031188,1.0,1.0,1.0,4592080.252499622,19742.8725,148.95367717287488,14918.20119935694,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / Core value,730.9901707258233,19742.8725,No paid action focus
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4587,0.0045781556572923,0.0069669867966084,1.2703291911925003,1.0,1.0,4203036.174999934,19423.267500000005,147.6106387617179,14668.941861164623,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Core value,916.2930401133494,19423.267500000005,No paid action focus
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,956,0.0198744769874477,0.0268231192623925,1.2573221757322175,1.0,0.9961543634190078,927325.3275000046,17825.697500000002,140.88458856345883,13727.878732483376,Lifecycle monitoring segment,Long-tenure / Medium engagement / Medium revenue / Core value,970.0055726987496,17825.697500000002,Risk monitor
Long-tenure,High engagement,Low revenue,Low value,High risk,High risk / low value,Do not overspend,Automation only,2768,0.0223988439306358,0.0175677743754897,1.68135838150289,1.0,0.9600974168569162,2341441.374999983,49465.162500000006,98.76697976878611,12583.538828561735,Do not spend premium budget,Long-tenure / High engagement / Low revenue / Low value,845.8964505057742,49465.162500000006,Risk monitor
Long-tenure,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,31032,0.0005800464037122,0.0007431169961015,1.0,1.0,1.0,25054328.227504723,15238.079999999994,99.0,11437.052757176963,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Low value,807.3707214328668,15238.079999999994,No paid action focus
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2544,0.0035377358490566,0.0069823839611147,1.2716194968553458,1.0,1.0,2470178.6200000434,8697.130000000001,149.0,10071.53520617269,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / Elite value,970.9821619497026,8697.130000000001,Value monitor
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1731,0.0051993067590987,0.007349931997349,1.146735990756788,1.0,1.0,1734280.0800000136,9283.0725,144.73021374927788,7013.476838701095,Lifecycle monitoring segment,Long-tenure / Medium engagement / Medium revenue / Core value,1001.8949046793839,9283.0725,No paid action focus
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2268,0.0048500881834215,0.0060045641256944,1.0,1.0,1.0,1491642.6525000432,7255.4625,99.0,5474.271292382116,Lifecycle monitoring segment,Long-tenure / No observed activity / Low revenue / Low value,657.6907638889079,7255.4625,No paid action focus
Established,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,1070,0.0046728971962616,0.0070300445958901,1.0093457943925233,1.0,1.0,886032.2250000036,4140.337500000001,149.0,4794.860895857092,Lifecycle monitoring segment,Established / No observed activity / Medium revenue / High value,828.0675000000034,4140.337500000001,Value monitor
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,930,0.0043010752688172,0.0074593543893597,1.6494623655913978,1.0,0.9837895361846084,973229.6600000076,4125.81,151.17132616487453,4780.07376077314,Lifecycle monitoring segment,Long-tenure / Medium engagement / Medium revenue / Elite value,1046.4835053763522,4125.81,Value monitor
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,608,0.0049342105263157,0.0082989106297469,1.0,1.0,1.0,718473.6000000025,3545.1000000000004,180.0,4110.698538284543,Lifecycle monitoring segment,Long-tenure / No observed activity / High revenue / Elite value,1181.7000000000041,3545.1000000000004,Value monitor
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,996,0.0060240963855421,0.0060126069001966,1.0,1.0,1.0,614703.3749999944,3758.040000000001,99.0,2835.476712926412,Lifecycle monitoring segment,Long-tenure / No observed activity / Low revenue / Core value,617.1720632530064,3758.040000000001,No paid action focus
Long-tenure,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,6668,0.0005998800239952,0.0025105475924912,1.0,1.0,1.0,8100001.324999888,4658.485000000001,149.0,2802.108208980844,"Protect, but avoid discounting",Long-tenure / High engagement / Medium revenue / High value,1214.7572473005232,4658.485000000001,Value monitor
Established,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,898,0.0044543429844097,0.0069163026529758,1.016703786191537,1.0,1.0,723025.1925000031,3312.2700000000004,144.87639198218264,2501.3839963412797,Lifecycle monitoring segment,Established / No observed activity / Medium revenue / Core value,805.1505484409835,3312.2700000000004,No paid action focus
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,894,0.0022371364653243,0.0064027998641181,1.0044742729306488,1.0,1.0,936239.2650000006,1995.1100000000004,149.0,2309.0669335424363,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / High value,1047.2475000000006,1995.1100000000004,Value monitor
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11300,0.0002654867256637,0.0019665515362443,1.0,1.0,1.0,11888899.359999936,3015.5775,127.82548672566372,2266.1308414239666,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Core value,1052.1149876106138,3015.5775,No paid action focus
