lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,priority_rank,segment_label,future_churned_clv_display,customer_display
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1555,0.9877813504823152,0.9831212427594846,1.342122186495177,1.0,0.9983703270648608,825523.07499998,813564.5049999803,241.07073954983923,2420095.578330849,Lifecycle monitoring segment,11,Unknown tenure / No observed activity / High revenue / Elite value / Critical risk,$814K,"1,555"
Established,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1095,0.9205479452054794,0.9153417885703464,1.212785388127854,1.0,0.9990867579908675,941179.8066666628,814373.841666662,247.4027397260274,2339706.375694093,Lifecycle monitoring segment,12,Established / No observed activity / High revenue / Elite value / Critical risk,$814K,"1,095"
Long-tenure,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,35210,0.0365237148537347,0.0341515882996898,1.347855722806021,1.0,0.997905945448263,40914655.37249883,1352287.4949999996,149.0,2097705.391188088,Highest priority lifecycle segment,13,Long-tenure / High engagement / Medium revenue / High value / High risk,$1.35M,"35,210"
Long-tenure,No observed activity,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,985,0.9258883248730964,0.9032429628873784,3.52994923857868,2.0,0.9753661578460028,670274.6374999922,607888.7099999937,149.0,1735439.8642892614,Lifecycle monitoring segment,14,Long-tenure / No observed activity / Medium revenue / High value / Critical risk,$608K,985
Established,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,16438,0.0479985399683659,0.0521067304628027,1.0006083465141744,1.0,1.0,20881249.61000012,911713.6925,200.62708358681104,1438830.1682015164,Lifecycle monitoring segment,15,Established / High engagement / High revenue / Elite value / High risk,$912K,"16,438"
Long-tenure,No observed activity,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,615,0.7983739837398374,0.7703804276089968,6.803252032520326,4.0,0.8755804102888952,647968.7716666664,477895.5999999994,186.97018970189697,1269085.5250206855,Lifecycle monitoring segment,16,Long-tenure / No observed activity / Medium revenue / Elite value / Critical risk,$478K,615
Established,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,14501,0.0509620026205089,0.0474940413402739,1.2400524101786083,1.0,1.0,14511209.830000192,656768.905,149.0,1031942.2717876146,Lifecycle monitoring segment,17,Established / High engagement / Medium revenue / High value / High risk,$657K,"14,501"
Established,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,648,0.7854938271604939,0.774113189732374,1.617283950617284,1.0,0.9978395061728392,479615.7275000002,358979.36749999993,149.0,955305.0460853024,Lifecycle monitoring segment,18,Established / High engagement / Medium revenue / High value / Critical risk,$359K,648
Long-tenure,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32245,0.0327182508916111,0.0323518966742816,1.298743991316483,1.0,0.9950972327652708,36250819.85416724,1109278.289166666,142.41706724556784,858874.1593206075,Lifecycle monitoring segment,19,Long-tenure / High engagement / Medium revenue / Core value / High risk,$1.11M,"32,245"
Long-tenure,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,14564,0.035361164515243,0.0366337823162692,2.353886294973908,1.0,0.9630478344877396,17306097.954166695,542220.3691666669,153.28575025176204,843125.9282072486,Lifecycle monitoring segment,20,Long-tenure / High engagement / Medium revenue / Elite value / High risk,$542K,"14,564"
Long-tenure,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,79557,0.006511054966879,0.00781094351805,1.1892730997900876,1.0,1.0,98928817.454994,639708.7775000001,149.0,741411.3326234113,Lifecycle monitoring segment,21,Long-tenure / High engagement / Medium revenue / High value / Medium risk,$640K,"79,557"
Long-tenure,No observed activity,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,848,0.8903301886792453,0.863301350310357,3.753537735849057,2.0,0.9779625154558802,566518.6041666667,490417.17833333527,143.06407232704402,685346.2429529241,Lifecycle monitoring segment,22,Long-tenure / No observed activity / Medium revenue / Core value / Critical risk,$490K,848
Early lifecycle,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,7122,0.0419825891603482,0.043022082680581,1.0001404099971918,1.0,1.0,8531866.882500034,336426.35,191.26579612468407,526350.1683684391,Lifecycle monitoring segment,23,Early lifecycle / High engagement / High revenue / Elite value / High risk,$336K,"7,122"
Long-tenure,High engagement,Low revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,856,0.552570093457944,0.5517935338547323,6.793224299065421,3.0,0.8434497106723855,694387.7199999983,362423.66333333345,102.97819314641742,421805.0229574585,Lifecycle monitoring segment,24,Long-tenure / High engagement / Low revenue / Core value / Critical risk,$362K,856
Established,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,5796,0.0519323671497584,0.0501013748866025,1.2232574189095928,1.0,0.9999424890729236,5735169.11500005,264809.5125000001,149.0698757763975,417115.2497389517,Lifecycle monitoring segment,25,Established / High engagement / Medium revenue / Elite value / High risk,$265K,"5,796"
Long-tenure,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,27838,0.0078669444644011,0.0084286729704185,1.004921330555356,1.0,0.9997724051902532,42294469.880000904,340017.2100000001,196.14707713676748,394315.5694475148,Lifecycle monitoring segment,26,Long-tenure / High engagement / High revenue / Elite value / Medium risk,$340K,"27,838"
Established,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,629,0.6597774244833068,0.6602994949662745,1.6120826709062004,1.0,0.9994700582935876,471710.7524999992,300928.45249999966,138.43826179120296,374723.518280049,Lifecycle monitoring segment,27,Established / High engagement / Medium revenue / Core value / Critical risk,$301K,629
Long-tenure,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,55977,0.0068599603408542,0.0077348343626392,1.1730353538060274,1.0,1.0,68351989.81000033,473785.87749999994,146.24874502027615,358087.8995893651,Lifecycle monitoring segment,28,Long-tenure / High engagement / Medium revenue / Core value / Medium risk,$474K,"55,977"
Established,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,9474,0.0482372809795229,0.0475206004557861,1.2304200971078745,1.0,0.9999136392423282,9457293.787500018,408689.7749999997,148.63742875237492,321083.21888110484,Lifecycle monitoring segment,29,Established / High engagement / Medium revenue / Core value / High risk,$409K,"9,474"
Long-tenure,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,1621,0.5774213448488588,0.5872137683939309,5.370758790869833,2.0,0.9006718678894972,1251578.5424999958,689342.9399999984,99.0,273533.65137828724,Do not spend premium budget,30,Long-tenure / High engagement / Low revenue / Low value / Critical risk,$689K,"1,621"
Long-tenure,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,30147,0.0058048893753939,0.0077742347940033,1.7195409161773971,1.0,0.981364281418411,38094870.49333391,218004.5075,151.4993310556048,252654.2245865744,Lifecycle monitoring segment,31,Long-tenure / High engagement / Medium revenue / Elite value / Medium risk,$218K,"30,147"
Early lifecycle,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,500,0.404,0.3352623294381568,1.094,1.0,1.0,332476.3649999996,124675.0050000001,149.0,249710.756398521,Lifecycle monitoring segment,32,Early lifecycle / High engagement / Medium revenue / High value / Critical risk,$125K,500
Long-tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,5747,0.029580650774317,0.0268815516567346,1.054289194362276,1.0,1.0,5315500.872499907,157235.97499999995,149.0,242194.08297638924,Lifecycle monitoring segment,33,Long-tenure / No observed activity / Medium revenue / High value / High risk,$157K,"5,747"
Early lifecycle,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,3282,0.0457038391224862,0.0557394703561944,1.1273613650213286,1.0,1.0,2958554.429999993,119561.325,149.0,189338.41489587724,Lifecycle monitoring segment,34,Early lifecycle / High engagement / Medium revenue / High value / High risk,$120K,"3,282"
Established,High engagement,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,904,0.9015486725663716,0.8687622673184997,1.8174778761061947,1.0,0.999010570304818,464757.475,400694.58,98.97123893805308,187200.72795575848,Do not spend premium budget,35,Established / High engagement / Low revenue / Low value / Critical risk,$401K,904
Long-tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4889,0.0359991818367764,0.0348210666985183,1.0572714256494171,1.0,0.9993618928446814,4359341.024999941,153101.77999999988,143.64287175291471,118824.7104697813,Lifecycle monitoring segment,36,Long-tenure / No observed activity / Medium revenue / Core value / High risk,$153K,"4,889"
Unknown tenure,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,861,0.9732868757259,0.9543380483276964,1.1939605110336815,1.0,1.0,229320.84499999805,217190.8699999983,98.92566782810684,106116.09524759778,Do not spend premium budget,37,Unknown tenure / No observed activity / Low revenue / Low value / Critical risk,$217K,861
Long-tenure,No observed activity,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,2292,0.0287958115183246,0.0291731417471546,1.9197207678883073,1.0,0.9724418132205398,2285490.404166721,65968.6408333333,152.85674810936592,101839.7300148469,Lifecycle monitoring segment,38,Long-tenure / No observed activity / Medium revenue / Elite value / High risk,$66K,"2,292"
Established,No observed activity,Low revenue,Low value,Critical risk,High risk / low value,Do not overspend,Automation only,677,0.9719350073855244,0.96803512149699,1.1816838995568686,1.0,0.999753815854259,218101.45499999984,206798.37749999992,99.0,101746.6174971482,Do not spend premium budget,39,Established / No observed activity / Low revenue / Low value / Critical risk,$207K,677
Early lifecycle,High engagement,Medium revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,1268,0.0607255520504731,0.0583320840933639,1.114353312302839,1.0,1.0,1134667.9825000016,58478.939999999995,149.08044164037855,92835.20766865616,Lifecycle monitoring segment,40,Early lifecycle / High engagement / Medium revenue / Elite value / High risk,$58K,"1,268"
Long-tenure,High engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,15975,0.0082003129890453,0.0077137938676753,1.00075117370892,1.0,0.9998935837245696,12776554.147500468,103934.9025,99.0,78552.47618515644,Lifecycle monitoring segment,41,Long-tenure / High engagement / Low revenue / Low value / Medium risk,$104K,"15,975"
Early lifecycle,High engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2092,0.0583173996175908,0.0547757729943396,1.1218929254302104,1.0,1.0,1887579.0375000043,93198.94999999995,148.14818355640534,73727.99589638307,Lifecycle monitoring segment,42,Early lifecycle / High engagement / Medium revenue / Core value / High risk,$93K,"2,092"
Established,High engagement,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,6305,0.0069785884218873,0.0087676799390304,1.0,1.0,1.0,8588481.589999981,62124.0425,204.74306106264868,72069.03515433252,Lifecycle monitoring segment,43,Established / High engagement / High revenue / Elite value / Medium risk,$62K,"6,305"
Established,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,7461,0.006433453960595,0.0081758985775523,1.0202385739177051,1.0,1.0,8579457.250000063,56153.630000000005,149.0,65104.64684118761,Lifecycle monitoring segment,44,Established / High engagement / Medium revenue / High value / Medium risk,$56K,"7,461"
Unknown tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,9963,0.005420054200542,0.0074955080393752,1.0,1.0,1.0,7285119.952500585,39485.74499999997,149.0,45748.96732695142,Lifecycle monitoring segment,45,Unknown tenure / No observed activity / Medium revenue / High value / Medium risk,$39K,"9,963"
Long-tenure,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,6740,0.0057863501483679,0.0070002464581295,1.2780415430267065,1.0,1.0,6233943.949999895,36071.7825,149.0,41772.93794783665,Lifecycle monitoring segment,46,Long-tenure / No observed activity / Medium revenue / High value / Medium risk,$36K,"6,740"
Established,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,1257,0.0246618933969769,0.0269063302258955,1.1933174224343674,1.0,0.9994431185361972,1040880.8475000048,25670.09250000002,149.0,39541.17072860146,Lifecycle monitoring segment,47,Established / No observed activity / Medium revenue / High value / High risk,$26K,"1,257"
Unknown tenure,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3329,0.0216281165515169,0.0126616873409065,1.1661159507359566,1.0,0.999474316611595,2159010.457499883,46856.81,132.15410033042957,35587.5722085092,Lifecycle monitoring segment,48,Unknown tenure / No observed activity / Medium revenue / Core value / High risk,$47K,"3,329"
Long-tenure,High engagement,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6639,0.0075312547070341,0.0076990409055691,1.0128031330019582,1.0,0.9994082648875184,5304561.9791666325,40920.165000000015,99.0251041823568,30926.408268148236,Lifecycle monitoring segment,49,Long-tenure / High engagement / Low revenue / Core value / Medium risk,$41K,"6,639"
Long-tenure,Medium engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,902,0.0199556541019955,0.0231952996785276,1.3503325942350333,1.0,0.9975678042353546,925333.9550000088,18566.144999999997,149.0,28495.18844572499,Lifecycle monitoring segment,50,Long-tenure / Medium engagement / Medium revenue / High value / High risk,$19K,902
Established,High engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2785,0.0064631956912028,0.008220237444296,1.02262118491921,1.0,1.0,3187159.1700000013,20871.175000000003,149.0,24199.152166377677,Lifecycle monitoring segment,51,Established / High engagement / Medium revenue / Elite value / Medium risk,$21K,"2,785"
Unknown tenure,No observed activity,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,752,0.026595744680851,0.0170816520525351,2.0013297872340425,2.0,1.0,549875.5600000106,14624.350000000004,149.0,22311.237087291745,Lifecycle monitoring segment,52,Unknown tenure / No observed activity / Medium revenue / High value / High risk,$15K,752
Established,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,5888,0.0042459239130434,0.0075714573566701,1.0171535326086956,1.0,1.0,6623572.052500057,28745.08000000001,145.2484714673913,21722.04161057556,Lifecycle monitoring segment,53,Established / High engagement / Medium revenue / Core value / Medium risk,$29K,"5,888"
Unknown tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,3721,0.0064498790647675,0.0074955080393761,1.0,1.0,1.0,2893393.7499999483,18721.105000000003,149.0,21690.643571988538,Lifecycle monitoring segment,54,Unknown tenure / No observed activity / Medium revenue / Elite value / Medium risk,$19K,"3,721"
Long-tenure,Medium engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,2432,0.0074013157894736,0.0075914889152329,1.1805098684210529,1.0,1.0,2508492.4800000284,18566.145000000004,149.0,21513.153136561024,Lifecycle monitoring segment,55,Long-tenure / Medium engagement / Medium revenue / High value / Medium risk,$19K,"2,432"
Long-tenure,High engagement,Low revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1385,0.0202166064981949,0.0198553350071038,3.632490974729242,1.0,0.865666678677812,1216958.4483333337,23608.509166666667,103.10661853188928,18057.948018891835,Lifecycle monitoring segment,56,Long-tenure / High engagement / Low revenue / Core value / High risk,$24K,"1,385"
Established,No observed activity,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,600,0.0166666666666666,0.0246662350885602,1.0033333333333334,1.0,1.0,609490.2450000023,10109.97,189.58833333333337,15539.01734513744,Lifecycle monitoring segment,57,Established / No observed activity / High revenue / Elite value / High risk,$10K,600
Established,No observed activity,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,894,0.0279642058165548,0.0304512556935187,1.193512304250559,1.0,1.0,730177.6950000025,19812.48750000001,146.96420581655482,15311.851967090366,Lifecycle monitoring segment,58,Established / No observed activity / Medium revenue / Core value / High risk,$20K,894
Unknown tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6282,0.0042979942693409,0.0074995385031188,1.0,1.0,1.0,4592080.252499622,19742.8725,148.95367717287488,14918.20119935694,Lifecycle monitoring segment,59,Unknown tenure / No observed activity / Medium revenue / Core value / Medium risk,$20K,"6,282"
Long-tenure,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4587,0.0045781556572923,0.0069669867966084,1.2703291911925003,1.0,1.0,4203036.174999934,19423.267500000005,147.6106387617179,14668.941861164623,Lifecycle monitoring segment,60,Long-tenure / No observed activity / Medium revenue / Core value / Medium risk,$19K,"4,587"
Long-tenure,Medium engagement,Medium revenue,Core value,High risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,956,0.0198744769874477,0.0268231192623925,1.2573221757322175,1.0,0.9961543634190078,927325.3275000046,17825.697500000002,140.88458856345883,13727.878732483376,Lifecycle monitoring segment,61,Long-tenure / Medium engagement / Medium revenue / Core value / High risk,$18K,956
Long-tenure,High engagement,Low revenue,Low value,High risk,High risk / low value,Do not overspend,Automation only,2768,0.0223988439306358,0.0175677743754897,1.68135838150289,1.0,0.9600974168569162,2341441.374999983,49465.162500000006,98.76697976878611,12583.538828561735,Do not spend premium budget,62,Long-tenure / High engagement / Low revenue / Low value / High risk,$49K,"2,768"
Long-tenure,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,31032,0.0005800464037122,0.0007431169961015,1.0,1.0,1.0,25054328.227504723,15238.079999999994,99.0,11437.052757176963,Lifecycle monitoring segment,63,Long-tenure / High engagement / Low revenue / Low value / Low risk,$15K,"31,032"
Long-tenure,No observed activity,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,2544,0.0035377358490566,0.0069823839611147,1.2716194968553458,1.0,1.0,2470178.6200000434,8697.130000000001,149.0,10071.53520617269,Lifecycle monitoring segment,64,Long-tenure / No observed activity / Medium revenue / Elite value / Medium risk,$9K,"2,544"
Long-tenure,Medium engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1731,0.0051993067590987,0.007349931997349,1.146735990756788,1.0,1.0,1734280.0800000136,9283.0725,144.73021374927788,7013.476838701095,Lifecycle monitoring segment,65,Long-tenure / Medium engagement / Medium revenue / Core value / Medium risk,$9K,"1,731"
Long-tenure,No observed activity,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2268,0.0048500881834215,0.0060045641256944,1.0,1.0,1.0,1491642.6525000432,7255.4625,99.0,5474.271292382116,Lifecycle monitoring segment,66,Long-tenure / No observed activity / Low revenue / Low value / Medium risk,$7K,"2,268"
Established,No observed activity,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,1070,0.0046728971962616,0.0070300445958901,1.0093457943925233,1.0,1.0,886032.2250000036,4140.337500000001,149.0,4794.860895857092,Lifecycle monitoring segment,67,Established / No observed activity / Medium revenue / High value / Medium risk,$4K,"1,070"
Long-tenure,Medium engagement,Medium revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,930,0.0043010752688172,0.0074593543893597,1.6494623655913978,1.0,0.9837895361846084,973229.6600000076,4125.81,151.17132616487453,4780.07376077314,Lifecycle monitoring segment,68,Long-tenure / Medium engagement / Medium revenue / Elite value / Medium risk,$4K,930
Long-tenure,No observed activity,High revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,608,0.0049342105263157,0.0082989106297469,1.0,1.0,1.0,718473.6000000025,3545.1000000000004,180.0,4110.698538284543,Lifecycle monitoring segment,69,Long-tenure / No observed activity / High revenue / Elite value / Medium risk,$4K,608
Long-tenure,No observed activity,Low revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,996,0.0060240963855421,0.0060126069001966,1.0,1.0,1.0,614703.3749999944,3758.040000000001,99.0,2835.476712926412,Lifecycle monitoring segment,70,Long-tenure / No observed activity / Low revenue / Core value / Medium risk,$4K,996
Long-tenure,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,6668,0.0005998800239952,0.0025105475924912,1.0,1.0,1.0,8100001.324999888,4658.485000000001,149.0,2802.108208980844,"Protect, but avoid discounting",71,Long-tenure / High engagement / Medium revenue / High value / Low risk,$5K,"6,668"
Established,No observed activity,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,898,0.0044543429844097,0.0069163026529758,1.016703786191537,1.0,1.0,723025.1925000031,3312.2700000000004,144.87639198218264,2501.3839963412797,Lifecycle monitoring segment,72,Established / No observed activity / Medium revenue / Core value / Medium risk,$3K,898
Early lifecycle,High engagement,Medium revenue,High value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Moderate save budget,894,0.0022371364653243,0.0064027998641181,1.0044742729306488,1.0,1.0,936239.2650000006,1995.1100000000004,149.0,2309.0669335424363,Lifecycle monitoring segment,73,Early lifecycle / High engagement / Medium revenue / High value / Medium risk,$2K,894
Long-tenure,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11300,0.0002654867256637,0.0019665515362443,1.0,1.0,1.0,11888899.359999936,3015.5775,127.82548672566372,2266.1308414239666,Lifecycle monitoring segment,74,Long-tenure / High engagement / Medium revenue / Core value / Low risk,$3K,"11,300"
Established,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,12279,0.0002443195699975,0.0016649047109515,1.0,1.0,1.0,12315286.295000045,2978.3975,131.3608600048864,2237.5171860216274,Lifecycle monitoring segment,75,Established / High engagement / Medium revenue / Core value / Low risk,$3K,"12,279"
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4269,0.0011712344811431,0.0005852873217718,1.0,1.0,1.0,2099919.25,2453.75,100.23424689622864,1841.389611574348,Lifecycle monitoring segment,76,Unknown tenure / No observed activity / Medium revenue / Core value / Low risk,$2K,"4,269"
Long-tenure,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,13106,0.000228902792614,0.0007457410560186,1.0,1.0,1.0,10579484.272499437,2374.5150000000003,99.0,1782.2143299927247,Lifecycle monitoring segment,77,Long-tenure / High engagement / Low revenue / Core value / Low risk,$2K,"13,106"
